ID|CARDTYPE|NAME|CARDNO|IDCARD|MSISDN|ADDRESS|DATEOFBIRTH
1|HYBRID|dylgwznb|1698760785623|1698760785623|84946417280|apuryoik|1913-09-23
2|VISA|duxeaddf|1698760785656|1698760785656|84734853868|fgzkcsce|1910-04-21
3|HYBRID|zqldypwg|1698760785656|1698760785656|84067089195|qrjosfip|1921-05-24
4|HYBRID|nqfztiok|1698760785656|1698760785656|844215804198|kippiabx|1915-05-24
5|JCB|msittpri|1698760785656|1698760785656|84037483945|eapdiepa|1995-06-21
6|JCB|kuyldobg|1698760785656|1698760785656|843312030601|cvuecoqf|1942-07-20
7|JCB|yhzmpnah|1698760785656|1698760785656|848438270444|jhyiitba|1982-12-04
8|VISA|iytyuvru|1698760785656|1698760785656|84776594242|lwteojvc|1902-09-02
9|VISA|dffzgcbs|1698760785656|1698760785656|84239642171|sykwekfo|1949-12-13
10|HYBRID|vdyhpzbq|1698760785656|1698760785656|842927810614|bmmztaws|1954-05-24
11|JCB|crhlyihm|1698760785656|1698760785656|849047714969|ycsvlwak|1925-01-20
12|VISA|gslbibvr|1698760785656|1698760785656|84295553942|waybteao|1922-10-12
13|HYBRID|ncvjnncm|1698760785656|1698760785656|84755150735|xaodtjhm|1988-03-19
14|JCB|stsqbbcu|1698760785656|1698760785656|84999753763|fhoukpsn|1974-08-12
15|JCB|noyhlhah|1698760785656|1698760785656|847601665923|xbpcgyww|1934-06-05
16|VISA|lyzehorn|1698760785656|1698760785656|841084470089|yvnnlpgz|1928-07-28
17|JCB|ydipybpt|1698760785656|1698760785656|846046344317|kqswsvkw|1963-08-17
18|HYBRID|hmulbkex|1698760785657|1698760785657|84528477587|cuqeeclg|1984-03-27
19|JCB|uofxfddz|1698760785657|1698760785657|842386830458|gucokwxx|1928-03-07
20|JCB|dkeibxlr|1698760785657|1698760785657|842705478688|pvawohkm|1960-08-04
21|JCB|igjjqvci|1698760785657|1698760785657|845942677186|dqytstqo|1904-07-12
22|JCB|byzltofn|1698760785657|1698760785657|848207178603|oekkcsbk|1995-04-12
23|VISA|jleghmiw|1698760785657|1698760785657|846321918954|xfdwljrp|1919-04-02
24|VISA|yecpscnr|1698760785657|1698760785657|849175955057|wrigwcdc|1940-04-17
25|VISA|zymogtso|1698760785657|1698760785657|840270769113|ojbyokfj|1971-06-06
26|VISA|hsjonxgn|1698760785657|1698760785657|84487395835|motykyqk|1947-03-06
27|VISA|bzlideqt|1698760785657|1698760785657|844593077196|gtdfvouw|1942-06-28
28|HYBRID|mzhctbza|1698760785657|1698760785657|84277662526|wikslshs|1985-08-04
29|VISA|xlypiujf|1698760785657|1698760785657|84353817746|bcbwsemv|1944-03-26
30|HYBRID|uowzynvm|1698760785657|1698760785657|84660953385|lxrebzgx|1943-05-26
31|JCB|scmxngfu|1698760785657|1698760785657|843349649431|xamtaxcs|1942-12-08
32|HYBRID|tsvpilfs|1698760785657|1698760785657|84951607477|gjntkdro|1953-05-19
33|VISA|cohnjhnh|1698760785657|1698760785657|84459626439|cklpvhuf|1954-06-01
34|JCB|vwxcwwuw|1698760785657|1698760785657|84469410861|pbboitoh|1908-04-09
35|VISA|rnnzsbtl|1698760785657|1698760785657|84550783765|micrrhzx|1947-11-19
36|JCB|mmyacacr|1698760785657|1698760785657|846471250381|vwkcualf|1987-05-20
37|VISA|abbifauj|1698760785657|1698760785657|843145552144|fcwbuvjf|1961-04-15
38|VISA|ojqzxuxq|1698760785657|1698760785657|84863039228|laqdwita|1931-10-17
39|VISA|mevcozyj|1698760785657|1698760785657|840053451649|qmabdmkf|1942-02-08
40|HYBRID|xmudqutv|1698760785657|1698760785657|84787970499|aerujfou|1944-11-13
41|JCB|zrzznthk|1698760785657|1698760785657|846427424978|maylgyoe|1996-02-20
42|HYBRID|rluunshq|1698760785657|1698760785657|84747256837|cqyrkvhz|1976-12-02
43|VISA|rjundwbp|1698760785657|1698760785657|84292162337|ksnhtuil|1936-07-12
44|VISA|hfagljap|1698760785657|1698760785657|84300330554|fzusdwvd|1940-02-11
45|JCB|sjlwdqpv|1698760785657|1698760785657|848839133841|ajebytxm|1937-12-27
